Table 1
NAME,GEOID,state_name,"Auto/Retail Debt Delinquency Rate, All","Auto/Retail Debt Delinquency Rate, Communities of Color","Auto/Retail Debt Delinquency Rate, Majority White Communities","Share of Subprime Consumers with Auto/Retail Delinquencies, All","Share of Near-Prime Consumers with Auto/Retail Delinquencies, All","Share of Prime Consumers with Auto/Retail Delinquencies, All","Share with Open Auto Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Share with Open Auto/Retail Debt, All","Share with Open Auto/Retail Debt, Communities of Color","Share with Open Auto/Retail Debt, Majority White Communities","% population in rural areas, 2010 (Census)",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Gunnison County, Colorado",08051,Colorado,.0254237,n/a**,.0254237,n/a*,n/a*,0,.190678,n/a**,.1923077,.2457627,n/a**,.2478632,.5860741,.1306392,77389,50894,79668
"Hinsdale County, Colorado",08053,Colorado,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,1,.1003501,74731,45630,76622
"Huerfano County, Colorado",08055,Colorado,.027027,n/a*,n/a*,n/a*,n/a*,n/a*,.2592593,n/a*,.1929825,.3004115,n/a*,.2105263,.5614663,.3886809,50466,44024,53769
"Jackson County, Colorado",08057,Colorado,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,1,.1784298,64192,49215,66518
"Jefferson County, Colorado",08059,Colorado,.0180517,n/a**,.0174932,.1519174,.0085995,.0002147,.2957824,n/a**,.29958,.3381239,n/a**,.3417522,.0689636,.223236,115741,84643,122586
"Kiowa County, Colorado",08061,Colorado,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.24,n/a**,.24,.32,n/a**,.32,1,.0832774,59705,45017,60558
"Kit Carson County, Colorado",08063,Colorado,0,n/a**,0,n/a*,n/a*,0,.3348416,n/a**,.3363636,.3981901,n/a**,.4,.4869407,.2304284,69660,63061,70869
"Lake County, Colorado",08065,Colorado,.0344828,n/a**,.0344828,n/a*,n/a*,0,.2807692,n/a**,.2807692,.3269231,n/a**,.3269231,.3106703,.3616308,64892,40436,75467
"La Plata County, Colorado",08067,Colorado,.032368,n/a**,.0272904,.28125,.0166667,0,.2868358,n/a**,.2854195,.3508454,n/a**,.3500688,.5994857,.2145207,94761,67562,100150
"Larimer County, Colorado",08069,Colorado,.0224784,n/a**,.0215555,.1738035,.017341,0,.2870157,n/a**,.2871825,.3310318,n/a**,.3312973,.1166038,.1802583,98731,76965,101962
"Las Animas County, Colorado",08071,Colorado,.0631579,n/a*,n/a*,n/a*,n/a*,0,.3270042,n/a*,n/a*,.3966245,n/a*,n/a*,.4079448,.4710501,56571,46287,64386
"Lincoln County, Colorado",08073,Colorado,.0142857,n/a**,n/a*,n/a*,n/a*,n/a*,.3141026,n/a**,.313253,.448718,n/a**,.4216867,1,.3289167,66203,42929,68255
"Logan County, Colorado",08075,Colorado,.0246305,n/a**,.0246305,n/a*,n/a*,0,.3333333,n/a**,.3333333,.3822975,n/a**,.3822975,.2915584,.2379803,64895,52401,66995
"Mesa County, Colorado",08077,Colorado,.0230389,n/a**,.022602,.1477273,.0068966,.000788,.3145928,n/a**,.3169559,.3759818,n/a**,.3784236,.1267627,.1904546,78226,66318,80408
"Mineral County, Colorado",08079,Colorado,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,1,.1359223,74266,78267,74023
"Moffat County, Colorado",08081,Colorado,.0225989,n/a**,.0238095,n/a*,n/a*,0,.3390244,n/a**,.3410853,.4292683,n/a**,.4315245,.2735774,.1968462,70569,51176,73922
"Montezuma County, Colorado",08083,Colorado,.056338,n/a*,.0380228,.2631579,n/a*,0,.2988506,n/a*,.2899329,.3601533,n/a*,.3516779,.671823,.2757097,61197,50106,64191
"Montrose County, Colorado",08085,Colorado,.0108932,n/a**,.0110132,n/a*,0,0,.2935709,n/a**,.2969984,.3555383,n/a**,.3586098,.4498982,.2394569,66576,55690,68855
"Morgan County, Colorado",08087,Colorado,.0379747,n/a*,.037594,.22,.0178571,0,.3244228,n/a*,.3175074,.3803159,n/a*,.3916914,.3254732,.4180664,64702,58881,67480
"Otero County, Colorado",08089,Colorado,.0452261,.0344828,n/a*,n/a*,n/a*,0,.3036053,.3024691,.254902,.370019,.3518519,.3333333,.3440603,.4688218,49140,41623,54005
"Ouray County, Colorado",08091,Colorado,0,n/a**,0,n/a*,n/a*,n/a*,.2333333,n/a**,.2333333,.2777778,n/a**,.2777778,1,.0429525,89953,58336,91342
"Park County, Colorado",08093,Colorado,.0231214,n/a**,.0240964,n/a*,n/a*,0,.3189066,n/a**,.3129412,.3895216,n/a**,.3858823,1,.110539,88346,128301,84670
"Phillips County, Colorado",08095,Colorado,.037037,n/a**,.037037,n/a*,n/a*,n/a*,.2903226,n/a**,.2903226,.3354839,n/a**,.3354839,1,.2592075,65218,55392,67814
"Pitkin County, Colorado",08097,Colorado,.016129,n/a**,.0116959,n/a*,n/a*,0,.245098,n/a**,.2536765,.3022876,n/a**,.3125,.4420341,.1467143,123052,97552,125147
"Prowers County, Colorado",08099,Colorado,.0234375,n/a*,n/a*,n/a*,n/a*,0,.2909091,n/a*,n/a*,.3848485,n/a*,n/a*,.3788543,.4110797,57202,45778,62976
"Pueblo County, Colorado",08101,Colorado,.0392542,n/a**,.0263591,.1919192,.005102,.0008006,.3318906,n/a**,.4029503,.3966162,n/a**,.4681677,.1415351,.4831972,66317,56004,73694
"Rio Blanco County, Colorado",08103,Colorado,.0149254,n/a**,.0149254,n/a*,n/a*,n/a*,.2929293,n/a**,.2929293,.3383838,n/a**,.3383838,1,.1535088,68199,53894,70013
"Rio Grande County, Colorado",08105,Colorado,.015625,n/a*,n/a*,n/a*,n/a*,0,.3025936,n/a*,n/a*,.3659942,n/a*,n/a*,.6253547,.479257,57761,44347,67754
"Routt County, Colorado",08107,Colorado,.0081301,n/a**,.008547,n/a*,n/a*,0,.2342995,n/a**,.242228,.2971014,n/a**,.3031088,.4517844,.102784,106451,84529,107881
"Saguache County, Colorado",08109,Colorado,0,n/a*,n/a*,n/a*,n/a*,n/a*,.2548077,.3703704,.184,.3125,.4197531,.248,1,.4141383,51603,46901,54269
"San Juan County, Colorado",08111,Colorado,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,n/a*,1,.1120543,68152,49389,71522
"San Miguel County, Colorado",08113,Colorado,.0135135,n/a**,.0135135,n/a*,n/a*,0,.2281369,n/a**,.2281369,.2813688,n/a**,.2813688,1,.1416325,103024,78056,105513
"Sedgwick County, Colorado",08115,Colorado,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.3076923,n/a**,.3076923,.3626374,n/a**,.3626374,1,.1554694,64634,39412,69823
"Summit County, Colorado",08117,Colorado,.0144928,n/a**,.0144928,n/a*,n/a*,0,.2463617,n/a**,.2463617,.2848233,n/a**,.2848233,.1951847,.1786681,101084,83544,103414
"Teller County, Colorado",08119,Colorado,.0205479,n/a**,.0210526,n/a*,n/a*,0,.2777778,n/a**,.2821782,.3451537,n/a**,.3527228,.6260386,.1125428,84460,97156,83489
"Washington County, Colorado",08121,Colorado,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.2755905,n/a**,.2755905,.3228346,n/a**,.3228346,1,.1306491,66293,51336,67117
"Weld County, Colorado",08123,Colorado,.0286941,n/a**,.0245999,.1751592,.0175439,.0009817,.3697842,n/a**,.3837434,.4218705,n/a**,.4321783,.2046,.3513122,95567,74032,103829
"Yuma County, Colorado",08125,Colorado,.0431034,n/a**,.0431034,n/a*,n/a*,0,.3208191,n/a**,.3208191,.3959045,n/a**,.3959045,.6491088,.2529241,68157,46145,72859
"Fairfield County, Connecticut",09001,Connecticut,.020926,.0482574,.0106147,.1663732,.0120056,.0001362,.288866,.2522005,.3071792,.3164276,.2821788,.3334922,.0458406,.3945462,159703,103360,186556
"Hartford County, Connecticut",09003,Connecticut,.0263766,.0598991,.0152993,.1550696,.0082023,.0007641,.2938775,.2302019,.3153292,.3329697,.2741001,.3504905,.0540864,.4056935,101930,77041,114921
"Litchfield County, Connecticut",09005,Connecticut,.0173385,n/a**,.0173989,.1283019,.0096774,.0017321,.3430378,n/a**,.3435204,.3819664,n/a**,.3820975,.4144856,.129039,112372,117522,111867
"Middlesex County, Connecticut",09007,Connecticut,.0173593,n/a**,.0173593,.1346154,.0165289,.0006892,.3220371,n/a**,.3223388,.3548025,n/a**,.3551349,.2454007,.1609661,100657,56715,107917
"New Haven County, Connecticut",09009,Connecticut,.0315582,.0681537,.0146194,.1731517,.0109739,.0008162,.3007907,.2247154,.333486,.3367608,.2628279,.3661281,.0363998,.3846532,94695,69787,107066
"New London County, Connecticut",09011,Connecticut,.0249526,n/a**,.0228202,.1517857,.012931,.0017754,.3310596,n/a**,.3381593,.3708103,n/a**,.3782316,.2580832,.2514197,98102,78491,102811
"Tolland County, Connecticut",09013,Connecticut,.0143481,n/a**,.014375,.1055901,.0233645,.0008143,.3263617,n/a**,.3270295,.3670421,n/a**,.3676199,.3820788,.1538828,118561,108398,120050
"Windham County, Connecticut",09015,Connecticut,.024055,n/a**,.0215054,.1314741,.0082645,0,.3570063,n/a**,.372973,.3949741,n/a**,.4124006,.4976104,.1729664,80332,49765,85007
"Kent County, Delaware",10001,Delaware,.0541683,n/a**,.0409253,.2542695,.0083682,.0012523,.3717251,n/a**,.3965517,.4379041,n/a**,.4655173,.2696938,.3977742,71690,58841,78503
"New Castle County, Delaware",10003,Delaware,.0455711,.074985,.0279383,.2165264,.0104439,.0011993,.3091156,.299913,.306822,.3565383,.3571118,.346477,.0460241,.4398401,100948,80666,114829
"Sussex County, Delaware",10005,Delaware,.0305441,n/a**,.0284757,.1922246,.0084746,.0013587,.3346854,n/a**,.3355365,.3840954,n/a**,.3849145,.4130361,.2522745,88437,66946,92989
"District of Columbia, District of Columbia",11001,District Of Columbia,.0800588,.112069,.0268398,.3110339,.022673,.0010834,.1794896,.2285009,.1282693,.2226243,.2795157,.1592933,0,.6271295,135369,87618,199025
"Alachua County, Florida",12001,Florida,.0413094,.0895522,.02397,.1850534,.0021231,.0006523,.2544899,.2406015,.274381,.3102016,.3258145,.3352703,.2119344,.3978806,73143,61231,79695
"Baker County, Florida",12003,Florida,.0503432,n/a**,.0503432,.2307692,.0106383,0,.4292509,n/a**,.4292509,.5160523,n/a**,.5160523,.5949106,.189217,74509,51915,77002
"Bay County, Florida",12005,Florida,.0350195,n/a**,.0353201,.1744186,.0082305,.0007163,.2958708,n/a**,.2968974,.356411,n/a**,.357677,.1199986,.241012,76106,62100,79239
"Bradford County, Florida",12007,Florida,.0546624,n/a**,.0551948,.2077922,.0136986,0,.3185841,n/a**,.3188775,.3906448,n/a**,.3903061,.7552945,.2645971,57585,38499,61888
"Brevard County, Florida",12009,Florida,.0291608,.0866667,.0268604,.1530015,.0073206,.0013677,.314189,.2133333,.3140535,.3611459,.2761905,.3594115,.0507439,.2636716,78841,65505,82421
"Broward County, Florida",12011,Florida,.0356541,.0420074,.0164042,.167459,.0158146,.0007965,.3035327,.300568,.2907816,.3391977,.3405567,.3172544,.0001693,.6548517,88786,77781,103094
"Calhoun County, Florida",12013,Florida,.0454545,n/a**,.0461538,n/a*,n/a*,0,.275766,n/a**,.2752809,.367688,n/a**,.3651685,.6751453,.2285197,53097,53843,52932
"Charlotte County, Florida",12015,Florida,.0233447,n/a**,.0235748,.1504425,.008547,.0006002,.2933009,n/a**,.2940238,.3355282,n/a**,.3366696,.0888435,.1608742,74773,46154,78278
"Citrus County, Florida",12017,Florida,.0305268,n/a**,.0302572,.1589595,.0173913,0,.3057451,n/a**,.3064873,.3615799,n/a**,.3623295,.3451882,.1199843,65270,63301,65495
"Clay County, Florida",12019,Florida,.0338089,n/a**,.0284431,.1620295,.0095238,.0015136,.3894572,n/a**,.3883249,.4545325,n/a**,.4584679,.1496869,.2839563,93365,103664,90478
"Collier County, Florida",12021,Florida,.0219422,.0382979,.0178911,.1507092,.0124309,.0015097,.3117068,.351321,.2817849,.3433957,.3929174,.307992,.0848594,.3717375,121643,71475,139313
"Columbia County, Florida",12023,Florida,.0762053,n/a**,.0753205,.2655367,.0148148,0,.3115764,n/a**,.3100381,.3885468,n/a**,.3888183,.6205742,.2772553,62768,50971,66564
"DeSoto County, Florida",12027,Florida,.0316092,n/a*,0,.1216216,.025974,0,.3103814,n/a*,.327044,.3665254,n/a*,.3710692,.4624233,.4524294,49625,38193,56374
"Dixie County, Florida",12029,Florida,.0535714,n/a**,.0535714,n/a*,n/a*,0,.2731183,n/a**,.2731183,.3591398,n/a**,.3591398,.7702472,.1592019,56035,39139,58011
"Duval County, Florida",12031,Florida,.0534953,.0812267,.0334773,.1967367,.0169625,.0005757,.3306779,.3239437,.3363782,.3868448,.3888981,.3884801,.029115,.4836822,79366,65768,89951
"Escambia County, Florida",12033,Florida,.0470588,.040404,.0430335,.1946698,.0135468,.0004651,.2964034,.2109827,.3118497,.3640922,.283237,.3788677,.0830223,.3616469,73632,52875,83421
"Flagler County, Florida",12035,Florida,.0373269,n/a**,.0364078,.1854305,.0105634,.0027907,.3456297,n/a**,.3476292,.3860432,n/a**,.3886109,.1032123,.2533857,79514,77000,80146
"Franklin County, Florida",12037,Florida,.0471698,n/a**,.0490196,n/a*,n/a*,0,.2583587,n/a**,.2697369,.3130699,n/a**,.3256579,.6804053,.2289391,68529,48163,71346
"Gadsden County, Florida",12039,Florida,.0728155,.0776256,n/a**,.2485876,.0070423,0,.3614458,.3601741,n/a**,.4585843,.468988,n/a**,.6537972,.6768093,53811,45706,67475
"Gilchrist County, Florida",12041,Florida,.0537634,n/a**,.0537634,.2586207,n/a*,0,.3170732,n/a**,.3170732,.4439024,n/a**,.4439024,.8391877,.1378043,56762,35735,58336
"Glades County, Florida",12043,Florida,.011236,n/a**,n/a*,n/a*,n/a*,0,.3919598,n/a**,n/a*,.4472362,n/a**,n/a*,.70638,.4025599,55963,52360,57573
"Gulf County, Florida",12045,Florida,.0419162,n/a**,.0384615,n/a*,n/a*,0,.2860215,n/a**,.2831461,.3591398,n/a**,.3505618,.7708504,.2369029,61039,45006,63771
"Hamilton County, Florida",12047,Florida,.0677083,n/a**,.0458716,.245283,n/a*,0,.3318681,n/a**,.3360324,.4087912,n/a**,.4331984,.6348402,.4528829,51642,40812,57679
"Hardee County, Florida",12049,Florida,.0496894,.0547945,n/a**,.1785714,.0135135,0,.3677249,.4085366,n/a**,.4193122,.4390244,n/a**,.4780931,.5294313,53433,42217,61274
"Hendry County, Florida",12051,Florida,.0659794,.0735931,n/a**,.2743363,0,.0038462,.3438045,.3303571,n/a**,.4188482,.4071428,n/a**,.3789218,.6796131,56396,50811,65059
"Hernando County, Florida",12053,Florida,.028006,n/a**,.0279245,.1434599,.0096712,.0011855,.3408302,n/a**,.3419847,.4021132,n/a**,.4025954,.1937515,.2403672,62821,59650,63576
"Highlands County, Florida",12055,Florida,.0425703,n/a**,.0420168,.2041667,.0190476,0,.3118783,n/a**,.3133462,.359567,n/a**,.3640232,.2106574,.3290892,65399,50916,70582
"Hillsborough County, Florida",12057,Florida,.0376556,.0605049,.0189538,.1723594,.0105921,.000619,.3353808,.2999927,.3506649,.3805078,.3458116,.3914537,.0351286,.5273206,84812,67486,99466
"Holmes County, Florida",12059,Florida,.0267857,n/a**,.0267857,.12,0,0,.3406998,n/a**,.3406998,.412523,n/a**,.412523,.7877252,.1333368,51489,51092,51522
"Indian River County, Florida",12061,Florida,.0271934,.0375,.0265727,.1689189,.006689,.0007391,.3088495,.3480392,.3099569,.3424779,.3872549,.343334,.0496783,.2470566,87627,64618,92773
"Jackson County, Florida",12063,Florida,.0617496,n/a*,.0535714,.2340426,.0247934,0,.3021429,.2745098,.3043478,.4107143,.3921569,.4103924,.7536284,.3468141,53662,40726,58685
"Jefferson County, Florida",12065,Florida,.0271493,n/a**,.037037,n/a*,n/a*,0,.2953737,n/a**,.3931624,.3914591,n/a**,.4615385,1,.4038557,62304,44594,72137
"Lafayette County, Florida",12067,Florida,.0153846,n/a**,.0153846,n/a*,n/a*,n/a*,.3459119,n/a**,.3481013,.4025157,n/a**,.4050633,1,.3379646,57595,41642,61379
"Lake County, Florida",12069,Florida,.0298536,.0215054,.0289511,.162374,.0096878,.0002968,.3414297,.3930348,.3306243,.3955419,.4577114,.3858515,.1925387,.3200687,75726,63046,79775
"Lee County, Florida",12071,Florida,.0326758,.065184,.0241251,.1886099,.0086009,.0003004,.3385659,.3839677,.3354771,.3788768,.4311216,.3734171,.0582025,.3400582,88514,64505,95996
"Leon County, Florida",12073,Florida,.0468961,.0780856,.0175902,.2003012,.0055866,.0017016,.2993254,.3105413,.3050795,.3479702,.3732194,.3473072,.1230947,.4421456,75969,56532,89598
"Levy County, Florida",12075,Florida,.0432432,n/a**,.0436364,.1860465,0,0,.2916374,n/a**,.295977,.3858046,n/a**,.3908046,.9204922,.202485,49934,40057,51874
"Liberty County, Florida",12077,Florida,.0208333,n/a**,.0208333,n/a*,n/a*,0,.3100775,n/a**,.3212851,.372093,n/a**,.3855422,1,.2375075,50919,35971,52809
"Madison County, Florida",12079,Florida,.078534,n/a**,.0289855,.2884615,n/a*,0,.3052632,n/a**,.3962264,.3978947,n/a**,.4339623,.8000937,.4557422,51664,39608,61072
"Manatee County, Florida",12081,Florida,.0258281,n/a*,.0234443,.1541353,.0080645,.0002936,.3195406,n/a*,.3225986,.3589927,n/a*,.360528,.057903,.2881917,92213,68499,97930
"Marion County, Florida",12083,Florida,.0423639,.0481928,.0405904,.1900739,.0151339,.002059,.2987103,.2927889,.2981787,.3585905,.3544744,.3578717,.3102826,.3059749,64731,55057,67702
"Martin County, Florida",12085,Florida,.0159635,.0769231,.0131658,.1238095,0,.0007788,.2938057,.2572815,.2979108,.3299868,.3058252,.3336681,.0847674,.2173577,110379,85128,114864
"Miami-Dade County, Florida",12086,Florida,.0374676,.0383139,n/a*,.1771088,.0116329,.0006875,.2911401,.2955348,n/a*,.3290327,.3351603,n/a*,.0040438,.8722791,82803,73236,138866
"Monroe County, Florida",12087,Florida,.0195876,n/a**,.0092593,.1145038,.0204082,0,.2762978,n/a**,.2814417,.3302596,n/a**,.3312883,.0871391,.3373704,106365,78221,117781
"Nassau County, Florida",12089,Florida,.0279503,n/a**,.028169,.1485149,.0172414,.0011723,.3415873,n/a**,.3459424,.4060318,n/a**,.4102813,.4814633,.1293292,87206,73568,88568
"Okaloosa County, Florida",12091,Florida,.0325365,n/a**,.032726,.1979381,.0035907,0,.3621422,n/a**,.363072,.4244829,n/a**,.4257254,.1209919,.2704353,85766,70248,89776
"Okeechobee County, Florida",12093,Florida,.0431373,n/a**,.0354839,.1826923,.0275229,0,.3392719,n/a**,.3354922,.3911696,n/a**,.3976684,.3654866,.3679759,58238,45978,62413
"Orange County, Florida",12095,Florida,.0404955,.054324,.0247335,.1736073,.0115607,.0004091,.3077815,.2980912,.2906564,.3504576,.3446395,.3299305,.0204214,.6122357,88304,73499,105922
"Osceola County, Florida",12097,Florida,.0361342,.041006,.0217166,.142967,.0131868,.0006421,.3424108,.3324434,.3483658,.3962538,.3863733,.3980141,.0782105,.7016668,68266,60577,82944
"Palm Beach County, Florida",12099,Florida,.029064,.0471204,.0147732,.1724751,.0103896,.0007274,.3218119,.3070107,.3302502,.3547313,.3499607,.3540869,.0104255,.4681755,101876,74741,116398
"Pasco County, Florida",12101,Florida,.0342727,n/a**,.0372189,.17643,.0068399,.0006044,.3604529,n/a**,.3473651,.4093101,n/a**,.3971429,.0946638,.2739053,73875,77845,72828
"Pinellas County, Florida",12103,Florida,.0299347,.0667752,.025436,.1732419,.0093799,.0004082,.2780125,.2570404,.2825254,.3187527,.3082437,.3217912,.00284,.2663324,83277,67502,87082
"Polk County, Florida",12105,Florida,.0483327,.0680851,.0438753,.200604,.0067996,.0009011,.3542603,.3329268,.3530139,.4099509,.3914634,.410489,.1351049,.4341363,67906,57990,73454
"Putnam County, Florida",12107,Florida,.0497561,n/a**,.0490731,.2050209,.0087719,0,.3114297,n/a**,.3172288,.3990442,n/a**,.4079307,.5616293,.2851253,54394,43083,58075
"St. Johns County, Florida",12109,Florida,.0174684,n/a**,.0170316,.1502591,.0098814,.000707,.3554482,n/a**,.3567714,.3971015,n/a**,.3985915,.2377354,.173676,122115,112055,123685
"St. Lucie County, Florida",12111,Florida,.0393457,.0911602,.0349221,.185567,.0125285,.001443,.3434988,.2696527,.3325635,.3900734,.3180987,.3734233,.0335722,.4412316,72610,63320,77827
"Santa Rosa County, Florida",12113,Florida,.0241643,n/a*,.023906,.1544503,.0021552,0,.3417514,n/a*,.342876,.4053788,n/a*,.4067516,.2098935,.1810724,83717,83517,83747
"Sarasota County, Florida",12115,Florida,.0174096,n/a**,.0147395,.136876,.0061425,.0002637,.2887459,n/a**,.2956082,.3217843,n/a**,.3279148,.0432049,.169501,94576,71604,97407
"Seminole County, Florida",12117,Florida,.0319415,.0208333,.0260586,.1637081,.01,.0005573,.3169992,.3581662,.3114085,.3592872,.4126075,.3499044,.0315766,.416022,95285,79299,103762
"Sumter County, Florida",12119,Florida,.0211674,n/a*,.0271985,.169697,.0235294,.000817,.2729638,n/a*,.2659545,.3097859,n/a*,.3072814,.3496467,.1503311,83298,82314,83369
"Suwannee County, Florida",12121,Florida,.0517024,n/a**,.0468085,.2065217,.013245,.0021834,.3395502,n/a**,.3519589,.4306089,n/a**,.4476557,.8316767,.2449031,61690,41417,66248
"Taylor County, Florida",12123,Florida,.0405405,n/a**,.0409556,.1466667,0,.0068493,.3517964,n/a**,.3519638,.4371257,n/a**,.4365559,.6928223,.2794239,50152,34486,53979
"Union County, Florida",12125,Florida,.0514286,n/a*,.0472973,.1764706,n/a*,0,.380697,n/a*,.3853503,.4691689,n/a*,.4713376,.674477,.3049075,64521,41421,68381
"Volusia County, Florida",12127,Florida,.0357292,.0823171,.0276727,.1787297,.0061967,.0006602,.3154732,.25,.3113208,.3600646,.2950368,.3536672,.0994333,.2943859,70972,59498,74550
"Wakulla County, Florida",12129,Florida,.0424628,n/a**,.0425532,.202381,.029703,0,.3776908,n/a**,.3842315,.4559687,n/a**,.4640719,.6167793,.2037066,73794,78910,73068
"Walton County, Florida",12131,Florida,.0254842,n/a**,.0255102,.1716418,.0111732,0,.3427058,n/a**,.3427173,.397718,n/a**,.3977968,.6312519,.1573057,79647,53816,83339
"Washington County, Florida",12133,Florida,.0602837,n/a**,.0602837,.2112676,n/a*,.0060976,.3052039,n/a**,.3052039,.3924051,n/a**,.3924051,.8455173,.2258924,48972,45841,49474
"Appling County, Georgia",13001,Georgia,.0526316,n/a**,.05,.2321429,0,0,.2650602,n/a**,.2720721,.4148021,n/a**,.4216216,.7144111,.3088395,54634,34992,60778
"Atkinson County, Georgia",13003,Georgia,.0487805,n/a**,n/a**,n/a*,n/a*,n/a*,.27,n/a**,n/a**,.405,n/a**,n/a**,1,.4347615,54979,35342,65170
"Bacon County, Georgia",13005,Georgia,.0564516,n/a**,.0625,n/a*,n/a*,0,.2401216,n/a**,.2401316,.3647417,n/a**,.3552631,.6928623,.2648871,53187,30769,58794
"Baker County, Georgia",13007,Georgia,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.2297297,n/a**,n/a*,.3513514,n/a**,n/a*,1,.4936143,47336,42219,52347
"Baldwin County, Georgia",13009,Georgia,.0634249,n/a*,n/a*,.1970803,.0119048,.0079365,.2966841,n/a*,.245283,.41274,n/a*,.4339623,.3513998,.4761588,56958,49055,63124
"Banks County, Georgia",13011,Georgia,.0334928,n/a**,.0334928,n/a*,0,0,.2771739,n/a**,.2771739,.375,n/a**,.375,.9382985,.1220334,56327,40741,58065
"Barrow County, Georgia",13013,Georgia,.0446429,n/a**,.0446429,.1818182,.0189394,.0028409,.3653571,n/a**,.3653571,.4364286,n/a**,.4364286,.3006184,.2865516,77081,65717,81458
"Bartow County, Georgia",13015,Georgia,.0444444,n/a*,.0444785,.1890034,.0074074,.0013441,.3120212,n/a*,.3133136,.3806718,n/a*,.3819527,.3522769,.2252404,70644,44135,77420
"Ben Hill County, Georgia",13017,Georgia,.0542986,n/a**,n/a*,.1641791,.0188679,0,.2234206,n/a**,.2168675,.3374422,n/a**,.3373494,.3400249,.4416133,43566,28041,56083
"Berrien County, Georgia",13019,Georgia,.0858209,n/a**,.0858209,.3278688,.0410959,0,.2939245,n/a**,.2944079,.4334975,n/a**,.4342105,.7614332,.1817565,49598,30724,52791
"Bibb County, Georgia",13021,Georgia,.0816098,.1108647,.0457746,.2204724,.0153453,0,.2728187,.2417169,.315508,.3530358,.3309488,.3770053,.1441044,.6167624,67678,46101,96567
"Bleckley County, Georgia",13023,Georgia,.0522388,n/a**,.0522388,n/a*,n/a*,0,.2885714,n/a**,.2885714,.3828571,n/a**,.3828571,.5158846,.3143593,56095,32465,62809
"Brantley County, Georgia",13025,Georgia,.0547945,n/a**,.0547945,n/a*,n/a*,n/a*,.266055,n/a**,.266055,.3302752,n/a**,.3302752,.9944598,.0784282,51349,43583,51835
"Brooks County, Georgia",13027,Georgia,.0368098,n/a**,n/a*,n/a*,n/a*,0,.3064516,n/a**,n/a*,.3709677,n/a**,n/a*,.7103983,.435279,60621,43296,71788
"Bryan County, Georgia",13029,Georgia,.0415335,n/a**,.0415335,.1951219,.0204082,0,.4117647,n/a**,.4117647,.4668175,n/a**,.4668175,.5234346,.2694601,88173,71208,93260
"Bulloch County, Georgia",13031,Georgia,.0665914,n/a**,.0490405,.219917,.027933,.0021459,.3003663,n/a**,.3270677,.3997253,n/a**,.4370301,.4828318,.3651734,61191,53716,64889
"Burke County, Georgia",13033,Georgia,.0917722,.0765957,.16,.2747253,.047619,0,.2783505,.2869875,.2682927,.3956186,.4064171,.398374,.7499571,.5273091,59197,41868,76304
"Butts County, Georgia",13035,Georgia,.0762463,n/a**,.0758123,.26,0,0,.3182957,n/a**,.3145897,.4223058,n/a**,.4148936,.7794124,.3396845,72157,74481,71207
"Calhoun County, Georgia",13037,Georgia,.0689655,n/a*,n/a**,n/a*,n/a*,n/a*,.2638889,.2719298,n/a**,.4027778,.4035088,n/a**,1,.6738413,47870,33139,74253
"Camden County, Georgia",13039,Georgia,.05,n/a**,.050193,.2130177,.0176471,0,.3675799,n/a**,.3669147,.4394977,n/a**,.4390384,.3144339,.3020045,76395,58565,82927
"Candler County, Georgia",13043,Georgia,.0514706,n/a**,.0514706,n/a*,n/a*,0,.31875,n/a**,.31875,.425,n/a**,.425,.6696672,.3936367,52898,41200,59424
"Carroll County, Georgia",13045,Georgia,.0594522,n/a*,.0597717,.2103896,.0231788,.0012346,.2932292,n/a*,.294164,.3833333,n/a*,.384858,.4182507,.297492,69895,52461,76289
"Catoosa County, Georgia",13047,Georgia,.0413625,n/a**,.0402439,.1974522,.0063694,.0019724,.3302348,n/a**,.3305542,.3972603,n/a**,.397744,.2810203,.0905397,71692,74131,71623
"Charlton County, Georgia",13049,Georgia,.0803571,n/a**,n/a*,n/a*,n/a*,0,.27,n/a**,.3387097,.3633333,n/a**,.3709677,.5102292,.3885736,52464,39184,56976
"Chatham County, Georgia",13051,Georgia,.0684333,.1083172,.0228311,.2299084,.011611,0,.3052166,.2533937,.270193,.3658063,.324499,.3109364,.0450499,.5244446,80418,61871,96164
"Chattahoochee County, Georgia",13053,Georgia,.0617284,n/a**,n/a**,n/a*,n/a*,0,.376506,n/a**,n/a**,.4849398,n/a**,n/a**,.2951984,.4242424,64522,52628,69956
