Table 1
NAME,GEOID,state_name,"Auto/Retail Debt Delinquency Rate, All","Auto/Retail Debt Delinquency Rate, Communities of Color","Auto/Retail Debt Delinquency Rate, Majority White Communities","Share of Subprime Consumers with Auto/Retail Delinquencies, All","Share of Near-Prime Consumers with Auto/Retail Delinquencies, All","Share of Prime Consumers with Auto/Retail Delinquencies, All","Share with Open Auto Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Share with Open Auto/Retail Debt, All","Share with Open Auto/Retail Debt, Communities of Color","Share with Open Auto/Retail Debt, Majority White Communities","% population in rural areas, 2010 (Census)",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Franklin County, Alabama",01059,Alabama,.0530504,n/a**,.0474308,.1938775,.0128205,0,.3102679,n/a**,.3158784,.4151786,n/a**,.4222973,.7036651,.2315197,56907,49122,58400
"Geneva County, Alabama",01061,Alabama,.0842697,n/a**,.0842697,.35,.0298507,0,.3071749,n/a**,.3075196,.3890134,n/a**,.38945,.8964165,.1614869,53077,38198,55244
"Greene County, Alabama",01063,Alabama,.172043,.173913,n/a*,n/a*,n/a*,n/a*,.2635983,.2627119,n/a*,.3849372,.3855932,n/a*,1,.8276069,36431,29370,65925
"Hale County, Alabama",01065,Alabama,.097561,.1209677,n/a**,.3103448,n/a*,0,.3138833,.3098592,n/a**,.4024145,.4225352,n/a**,.8916878,.6046999,51992,35091,76553
"Henry County, Alabama",01067,Alabama,.0572687,n/a*,.0547945,n/a*,n/a*,0,.2969589,n/a*,.3033708,.3989266,n/a*,.4026217,.8775286,.3082939,62696,41762,70563
"Houston County, Alabama",01069,Alabama,.0690362,n/a**,.0710808,.2455696,.0108303,.0012642,.3148849,n/a**,.3172155,.4200408,n/a**,.4226761,.3380405,.3533745,69495,43355,81707
"Jackson County, Alabama",01071,Alabama,.0773723,n/a**,.0773723,.3509934,0,0,.2944039,n/a**,.2944039,.406326,n/a**,.406326,.770173,.1075175,54808,48121,55484
"Jefferson County, Alabama",01073,Alabama,.0949341,.1527675,.0479643,.3157895,.021645,.0013277,.2724051,.2551553,.2822907,.3422177,.3415557,.3405197,.0983377,.5062324,79833,56125,102950
"Lamar County, Alabama",01075,Alabama,.0470588,n/a**,.0470588,n/a*,n/a*,0,.2932692,n/a**,.2932692,.4038461,n/a**,.4038461,1,.1400792,54252,39513,56564
"Lauderdale County, Alabama",01077,Alabama,.0638095,n/a**,.0639313,.2876106,0,.0032841,.2630324,n/a**,.2644033,.3516184,n/a**,.3532236,.4929511,.152794,62091,43816,65078
"Lawrence County, Alabama",01079,Alabama,.0811966,n/a*,.0779817,.3271028,.01,.0076628,.3230047,.3389831,.3220676,.429108,.5084746,.4244533,.9128979,.2351322,58315,56852,58753
"Lee County, Alabama",01081,Alabama,.0628127,n/a*,.0664876,.2665037,.0086705,0,.292984,n/a*,.3038009,.3819835,n/a*,.3907923,.274095,.3255808,78000,65892,82732
"Limestone County, Alabama",01083,Alabama,.0441389,n/a*,.0482283,.260274,.0117188,.0011025,.336993,n/a*,.3185336,.4165904,n/a*,.4081466,.5760914,.2345583,83580,73900,85725
"Lowndes County, Alabama",01085,Alabama,.1221374,.1686747,n/a*,n/a*,n/a*,0,.2484277,.2361111,.2711864,.4056604,.375,.440678,1,.7534478,47139,36481,78432
"Macon County, Alabama",01087,Alabama,.0976744,.0967742,n/a*,.3,n/a*,0,.2276867,.2251816,n/a*,.3752277,.3607748,n/a*,.5554727,.8414582,50091,48519,57468
"Madison County, Alabama",01089,Alabama,.0473976,.1012658,.0335229,.2317352,.0077821,.0010468,.2964584,.2378568,.3054933,.3678692,.3450175,.3709641,.1644152,.3574411,88904,69292,98821
"Marengo County, Alabama",01091,Alabama,.1074074,n/a*,n/a*,.4242424,.0169492,0,.3255426,.3473684,.245283,.4407346,.4842105,.3584906,.6931564,.5511619,54556,42686,70338
"Marion County, Alabama",01093,Alabama,.0557276,n/a**,.0557276,.1904762,.028169,0,.2491657,n/a**,.2494432,.3559511,n/a**,.3563474,.8885495,.0814639,50367,35476,51381
"Marshall County, Alabama",01095,Alabama,.0597285,n/a**,.0597826,.2695652,.018018,0,.273916,n/a**,.2740103,.3733655,n/a**,.3731498,.5326869,.1924553,63823,64015,63792
"Mobile County, Alabama",01097,Alabama,.0730621,.1221532,.052598,.2625954,.0138751,.0011442,.2901475,.2586858,.3098539,.3695635,.3508308,.3857874,.2002024,.4359381,64556,47658,76669
"Monroe County, Alabama",01099,Alabama,.0731707,n/a*,.0192308,.2317073,.0166667,.0068966,.3033537,.3030303,.3187773,.4344512,.4848485,.4497817,.7904456,.4572637,48659,32475,62899
"Montgomery County, Alabama",01101,Alabama,.108031,.1199069,.0851927,.341823,.019305,0,.2628085,.2560308,.29,.3456487,.3399554,.3692308,.1049123,.6609824,72113,56444,99514
"Morgan County, Alabama",01103,Alabama,.06399,n/a**,.0449251,.260274,.0192308,.0010905,.3082915,n/a**,.3197935,.3934673,n/a**,.4086058,.3859737,.2436815,73817,55320,79073
"Perry County, Alabama",01105,Alabama,.1545455,.1545455,n/a**,n/a*,n/a*,n/a*,.3092369,.3092369,n/a**,.4297189,.4297189,n/a**,1,.7065533,35819,30276,47057
"Pickens County, Alabama",01107,Alabama,.0671642,.1044776,.044586,.2394366,.0149254,0,.3629764,.3550725,.3622755,.4827586,.4782609,.4670659,1,.4635183,56370,33764,73424
"Pike County, Alabama",01109,Alabama,.0904393,n/a*,.0733333,.2844827,.021978,0,.2927631,n/a*,.3301587,.4133772,n/a*,.4603175,.5167938,.4398344,57838,41986,69242
"Randolph County, Alabama",01111,Alabama,.0968858,n/a**,.0968858,.2873563,.0434783,0,.2855114,n/a**,.2855114,.4005682,n/a**,.4005682,.8134247,.2470526,58836,37341,65019
"Russell County, Alabama",01113,Alabama,.0858257,.086747,.0944882,.2450593,.0168539,0,.3049605,.3183857,.2903226,.4244645,.4529148,.4096774,.3540899,.5393429,55932,54048,57928
"St. Clair County, Alabama",01115,Alabama,.0722367,n/a*,.0724891,.3019608,.0174672,0,.2927516,n/a*,.2935359,.3951443,n/a*,.3952667,.7279677,.1413018,78406,52312,82379
"Shelby County, Alabama",01117,Alabama,.0430312,n/a**,.0432453,.2389791,.0165094,.001694,.3154848,n/a**,.3156209,.3778582,n/a**,.378221,.2294487,.2213445,101601,87640,105237
"Sumter County, Alabama",01119,Alabama,.0993789,.0993789,n/a**,.25,n/a*,0,.3602305,.3602305,n/a**,.4582133,.4582133,n/a**,1,.751895,38978,30744,64902
"Talladega County, Alabama",01121,Alabama,.1078998,n/a**,.0980392,.34375,.0085837,0,.2459872,n/a**,.2464945,.4069021,n/a**,.4059041,.5581534,.3737296,62758,52332,68492
"Tallapoosa County, Alabama",01123,Alabama,.071161,n/a*,.0736842,.2846154,.0095238,0,.247605,.3294118,.2442053,.3839352,.4117647,.384106,.7422626,.3112651,60734,39221,68552
"Tuscaloosa County, Alabama",01125,Alabama,.0804505,n/a*,.0581484,.2988871,.0206767,.0007547,.3090464,n/a*,.3309971,.39837,n/a*,.4112775,.2550808,.3845156,73432,52839,84986
"Walker County, Alabama",01127,Alabama,.1003963,n/a**,.1024259,.3384615,.0653595,0,.266129,n/a**,.2654959,.3704637,n/a**,.3719008,.74088,.1105288,60865,32917,63943
"Washington County, Alabama",01129,Alabama,.08,.1,.0763889,.2962963,n/a*,0,.326087,.3853211,.325,.4367589,.4495413,.44375,1,.3505229,60489,55890,62764
"Wilcox County, Alabama",01131,Alabama,.0902778,.0875912,n/a*,n/a*,n/a*,0,.2464986,.254491,n/a*,.394958,.4011976,n/a*,1,.7315794,42500,34916,61153
"Winston County, Alabama",01133,Alabama,.0555556,n/a**,.0555556,.2758621,0,0,.262533,n/a**,.262533,.3733509,n/a**,.3733509,.8489217,.0630256,53167,35904,53965
"Aleutians East Borough, Alaska",02013,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,n/a*,n/a**,n/a*,n/a*,n/a**,1,.8679468,79535,75681,97812
"Aleutians West Census Area, Alaska",02016,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,.1038961,.1038961,n/a**,.2077922,.2077922,n/a**,1,.7616708,101964,86979,133787
"Anchorage Municipality, Alaska",02020,Alaska,.0211316,.034965,.0173554,.1469816,.0088183,.0005035,.3041687,.2756696,.3036756,.3538536,.3180804,.3515169,.0411718,.4304549,109042,86133,121674
"Bethel Census Area, Alaska",02050,Alaska,.0322581,.0322581,n/a**,n/a*,n/a*,n/a*,.1205674,.1205674,n/a**,.212766,.212766,n/a**,.7393758,.9027241,70804,59999,132395
"Bristol Bay Borough, Alaska",02060,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,1,.4914286,96032,79036,110244
"Denali Borough, Alaska",02068,Alaska,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.2941177,n/a**,.2941177,.372549,n/a**,.372549,1,.1576135,85694,73123,87109
"Dillingham Census Area, Alaska",02070,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,.1782178,.1782178,n/a**,.2376238,.2376238,n/a**,1,.8459988,72576,65900,114253
"Fairbanks North Star Borough, Alaska",02090,Alaska,.0212578,n/a*,.0184922,.1653543,0,.002611,.3503909,n/a*,.356021,.3997868,n/a*,.408377,.3087076,.3006904,103334,109301,101587
"Haines Borough, Alaska",02100,Alaska,n/a*,n/a**,n/a*,n/a*,n/a*,n/a*,.1232877,n/a**,.1232877,.1506849,n/a**,.1506849,1,.2247816,72356,46093,77207
"Juneau City and Borough, Alaska",02110,Alaska,.0068729,n/a**,.0078431,n/a*,n/a*,0,.2359081,n/a**,.2417178,.3037578,n/a**,.3128834,.2154436,.3532131,107328,104494,108249
"Kenai Peninsula Borough, Alaska",02122,Alaska,.0181818,n/a*,.0166976,.1754386,0,0,.2640092,n/a*,.2667457,.3154246,n/a*,.3177238,.7933754,.2007731,85348,71327,87619
"Ketchikan Gateway Borough, Alaska",02130,Alaska,0,n/a**,0,n/a*,n/a*,0,.2137931,n/a**,.2155388,.2666667,n/a**,.2681704,.2318765,.3603623,92764,75027,100439
"Kodiak Island Borough, Alaska",02150,Alaska,.025,n/a*,n/a**,n/a*,n/a*,0,.2886905,n/a*,n/a**,.3571429,n/a*,n/a**,.313199,.5097019,94946,82439,103039
"Kusilvak Census Area, Alaska",02158,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,.0409836,.0409836,n/a**,.1639344,.1639344,n/a**,1,.9642424,47654,46211,105445
"Lake and Peninsula Borough, Alaska",02164,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,1,.7903805,58583,48212,96195
"Matanuska-Susitna Borough, Alaska",02170,Alaska,.0207254,n/a*,.0187266,.1538462,.0091743,0,.3301435,n/a*,.3198068,.3940533,n/a*,.3850242,.5029384,.2143431,92126,75535,95478
"Nome Census Area, Alaska",02180,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,.1609195,.1609195,n/a**,.2758621,.2758621,n/a**,.6605563,.8534241,76581,64278,124191
"North Slope Borough, Alaska",02185,Alaska,.0181818,.0181818,n/a*,n/a*,n/a*,n/a*,.2820513,.283871,n/a*,.3525641,.3548387,n/a*,.5933192,.6908701,94169,88352,147085
"Northwest Arctic Borough, Alaska",02188,Alaska,n/a*,n/a*,n/a**,n/a*,n/a*,n/a*,.1102362,.1102362,n/a**,.2125984,.2125984,n/a**,.5746378,.8922877,79967,70570,127172
"Petersburg Borough, Alaska",02195,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,1,.3451028,92572,61559,103776
"Prince of Wales-Hyder Census Area, Alaska",02198,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,.2,n/a*,.2264151,.2888889,n/a*,.3018868,1,.5473701,66387,59961,71726
"Sitka City and Borough, Alaska",02220,Alaska,.0188679,n/a**,.0188679,n/a*,n/a*,n/a*,.1531915,n/a**,.1531915,.2255319,n/a**,.2255319,.2087603,.3842593,90196,73324,97881
"Southeast Fairbanks Census Area, Alaska",02240,Alaska,0,n/a*,n/a*,n/a*,n/a*,0,.2838428,n/a*,.2516556,.3144105,n/a*,.2781457,1,.2634487,80810,49184,88603
"Valdez-Cordova Census Area, Alaska",02261,Alaska,.0357143,n/a**,.0263158,n/a*,n/a*,0,.2625483,n/a**,.2552301,.3243243,n/a**,.3179916,1,.306935,96106,90479,97452
"Yakutat City and Borough, Alaska",02282,Alaska,n/a*,n/a**,n/a**,n/a*,n/a*,n/a*,n/a*,n/a**,n/a**,n/a*,n/a**,n/a**,1,.5670262,76895,67697,87253
"Yukon-Koyukuk Census Area, Alaska",02290,Alaska,n/a*,n/a*,n/a*,n/a*,n/a*,n/a*,.1272727,.0945946,n/a*,.2,.2027027,n/a*,1,.7844523,53438,46378,78732
"Apache County, Arizona",04001,Arizona,.13732,.1671309,.0377358,.3753846,.0076628,0,.4337417,.4774292,.2910959,.4933185,.537873,.3561644,.7406108,.8200648,43748,37697,65916
"Cochise County, Arizona",04003,Arizona,.0297784,.0506912,.0216138,.1826087,.0035971,0,.2893265,.2773498,.2900208,.3496231,.3343605,.3586279,.3630107,.4522959,67592,58576,73094
"Coconino County, Arizona",04005,Arizona,.061849,.1179138,.0390805,.25,.0243902,.0011534,.3220798,.4326711,.2844726,.3730902,.4768212,.3389964,.3146607,.4590872,81219,59846,93416
"Gila County, Arizona",04007,Arizona,.0361905,n/a*,.0213415,.2209302,0,0,.2624688,.2837838,.2458858,.3235661,.3378378,.3146176,.41062,.3774698,58074,52893,60152
